serial.no,sampleID,mean,std_dev,kurtosis,rms
26,13_2,2008.7390476190476,179.34916878541335,-0.7108578101063996,2016.725903183531
27,13_3,2004.857619047619,171.50322471518197,-0.47088391862836865,2012.1762900851784
28,14_1,1942.2047619047619,158.84934321884413,-0.9959802104657123,1948.6868489416393
29,14_2,1970.2038095238095,141.30842801905243,-0.8587107346034601,1975.262416562851
30,14_3,1920.0661904761905,210.733470113712,-0.6925671064665146,1931.5904390645844
31,15_1,2030.8095238095239,80.48246551646659,-0.3381122737564697,2032.4029287427
32,15_2,2030.7447619047618,93.88426372364744,-0.9808666644520123,2032.9127737594365
33,15_3,1949.5490476190475,146.1125215732819,-0.04995924538900809,1955.0141155257068
34,16_1,2001.767619047619,174.5701105185749,-1.2744647885972675,2009.3615434711974
35,16_2,2047.009523809524,162.70807590734714,-1.3375018299159285,2053.462758830742
36,16_3,2029.3080952380953,141.92830400938684,-0.9028703428854028,2034.262863217698
37,17_1,1989.1209523809523,87.50850031016522,-0.8017435476491594,1991.0440111373014
38,17_2,1990.2780952380951,103.40550388458993,-0.7912483635557357,1992.9612396775667
39,17_3,2007.7328571428573,127.25799016717855,-0.7496501195403233,2011.7599533741593
40,18_1,2024.032380952381,228.19831211318788,-1.2239241254618727,2036.8497125287795
41,18_2,1927.3323809523808,247.37258691992244,-1.0360670938888397,1943.135137814538
42,18_3,1974.93,186.35472165212008,-0.8121698818720957,1983.6985784135652
43,19_1,2117.3557142857144,166.18750965872584,-1.3176993653971216,2123.864486641991
44,19_2,2040.2957142857142,120.75640862743785,-1.131579510013047,2043.8644201842837
45,19_3,1906.7009523809525,229.33011608371513,-0.7435431861573254,1920.4363514576576
46,21_1,1972.7704761904763,109.98550159882713,-1.2622757352391745,1975.8325844829976
47,21_2,2097.612380952381,202.1861185294632,-1.323959307960532,2107.3294618906607
48,21_3,1978.2923809523809,172.63292270581246,-1.1972567865781483,1985.8068080877401
49,22_1,2009.7833333333333,159.7249488159488,-0.6962325461533094,2016.1172975844058
50,22_2,1952.3619047619047,131.4881129449438,-1.1083780555018938,1956.7825372522207
51,22_3,1975.1738095238095,157.55343862222847,-1.0636951119671043,1981.44463544489
52,23_1,1994.7280952380952,140.55396380906402,-1.0651719740114258,1999.6715188583682
53,23_2,1994.7180952380952,95.8508824612221,-1.0764780100775257,1997.0186018639076
54,23_3,2020.9738095238095,126.40418463804318,-1.019651305256469,2024.9211214502252
55,24_1,2020.9738095238095,126.40418463804318,-1.019651305256469,2024.9211214502252
56,24_2,2024.4752380952382,147.92031660008223,-1.387219003063684,2029.869451584557
57,24_3,2002.7961904761905,144.01311869455947,-1.352959513791974,2007.9647613584116
58,25_1,1955.642857142857,154.91515165693218,-0.5619211248782907,1961.7661076062
59,25_2,1849.0714285714287,257.03945645597935,-0.4761385480646081,1866.8430487246185
60,25_3,2063.407619047619,217.92800000533342,-1.3287494108193918,2074.8785506626646
61,26_1,2006.1442857142856,149.60167738954286,-0.4487259592184003,2011.711932539997
62,26_2,1951.1171428571429,220.85978985776453,-0.6881827745301505,1963.5717261688008
63,26_3,1957.084761904762,178.9175793388268,-0.7871959947842346,1965.242229829382
64,27_1,2060.150476190476,150.580823154284,0.4774211548850471,2065.6436700042364
65,27_2,1995.962380952381,122.98050606840876,-0.2451295836802525,1999.7456910936498
66,27_3,2011.0690476190475,119.802225039397,-0.1003873915189728,2014.6325850777712
67,29_1,1996.7109523809524,84.206657097979,-0.8922945601360173,1998.4849291162448
68,29_2,2021.767619047619,83.93647237640725,-0.8746949987321382,2023.5084091509877
69,29_3,1942.2923809523809,185.41870580951573,1.1433929477924165,1951.1185043700543
70,30_1,1943.7861904761905,237.24416776881233,-0.7302187722276785,1958.2039595360993
71,30_2,2009.5380952380951,75.66712019622764,-0.952023092645629,2010.961497109565
72,30_3,2008.807619047619,77.8208270544426,-1.2866062332358723,2010.3137187063735
73,31_1,2035.6142857142856,247.12234778421507,-1.4556210371381437,2050.5525826678318
74,31_2,1987.1319047619047,215.85537928276818,-1.1408218968332025,1998.8157904833838
75,31_3,2035.992380952381,234.55490765723857,-1.3758807170786773,2049.4523126691097
76,32_1,2003.4880952380952,180.50115864375877,-1.1141566908116898,2011.598792361084
77,32_2,1987.1561904761904,97.80958538214398,-0.1859386865057795,1989.5607265831081
